Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Citrus sinensis,nimbubheda,Sangtra,Saatthukudi,"orange, sweet orange",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Clerodendrum infortunatum Linn.,,Bhophali/Bohphali/Chankas/Baphlee,,Hill glory bower,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cocos nucifera Linn.,nrikela,Narjeel/Naryal,"Thenkaai, Naalikeram, Poologakarpaga vritcham, Mudiyarasan, Mukkannan,Ilaangali,Thennai",coconut palm,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Colchicum luteum Bak.,surijna,Suranjaan Talkh/Feeloon/Shanbleez,,"Hermodactyls, Colchicum, Meadow Saffron, Golden Collyrium",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Commiphora myrrha,bola,Mur Makki / Beja Baul,"Vellaippapolam, Valendrapolam, Kungkumatheepam, Meeru",Actiniopteris,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Commiphora opobalsamum,balas,Balsan,,Mecca myrrh,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Commiphora wightii Bhandari Syn.,guggulu,Muqil,"Maisaatchi kungilium, Gukkulu, Poonaikkan kungilium","Indian Bdellium, Gum Guggul",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Convolvulus scammonia Linn.,sakamuniy,Saqmonia,,scammony,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Coptis teeta Wall.,"ptamlik, mamr",Mamira / Mamiran,Peetharoghan,goldthread,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Corchorus depressus,,Labna,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cordia myxa Linn.,lemtaka,Sapistan/Lasora,"Naruvali, Naruvili, Perunaruvili",Assyrian plum,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Coriandrum sativum Linn.,dhnyaka,Kishneez,"Kottha malli,Urularisi,Dhaniya","Chinese parsley, Chinese-parsley, coriander",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cornus mascula Linn,,Mu /  Qarn,,Dogwood,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Corylus avellana Linn.,phidaka,Funduq/Baadaam Kohi/Bundaq,,common filbert,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Costus speciosus,"kemuka, kalihr",Pushkar Mool/Phukhar/Rumnaashnam,"Koshtam, Kura, Oli, Kuravam",canereed,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cotoneaster nummularia Fish & Mey.,Shir-e-khishta,Sheer-e-Khisht/Manna/Harlaaloo,,Shirkhesht,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Crocus sativus Linn.,kukuma,Zafran/Gumr/ Gumrah,"Kungumapoo,Gnalal poo,Kashmiram","saffron crocus, Saffron",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Croton tiglium Linn.,jayapla,Habb-al- Mulook/Maahudaana,"Nervaalam, Naganam, Saiyabalam,Nigumbam, Thendi, Chiduram, Shobi, Nagathenthi",purging croton,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cucumis melo Linn.,ervru,Kakri/Kheyaarzah/Qissa,"Vellarikkai, Kakkarikkai",Snake Cucumber,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cucumis sativus Linn.,trapua,khayar/Khira,"Mulluvellarikkai, Peerkankai, Karkarikay, Vellarikkai","garden cucumber, Cucumber",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cucurbita moschata,km bheda,Kadu,,Squash,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cuminum cyminum Linn.,vetajraka,Zeerah,"Seerakam, Asai, Seeri, Posanakudori,Upakumba peesam,Pittha naasini,Prathivikaa,Methiyam","cumin, Cumin seed",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Curculigo orchioides Gaertn.,"tlaml, mual",Musli Siyah,"Nilappanankizhanku,Vaaraagi,Kurathi,Chithi,Thalai thathu,Nila velumi,Thaalamooli,Thirana rasan",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Curcuma amada Roxb.,haridr mragandhi,Aamba Haldi,"Maankaai inji, Mamediallam, Arukamilaka",mango ginger,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Curcuma zedoaria,"a, karcra",Tumiri/Kacchuri/ Kachuri/Zarambad,"Kichili kizhangu, Pulan kizhangu,Kacholam,Kachoram",zedoary,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cuscuta epithymum,aphatmna,Aftimoon,,"clover dodder, thyme dodder",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cuscuta reflexa Roxb.,amarvall,Kasoos/Aakaash Bel/ Amar Bel/ Afteemoone Hindi,"Muthiyarkoonthal, Kuthirai vaali, Miriyar koonthal, Saran, Sadadari","giant dodder,  Cuscuta, Dodder",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
cydonia oblonga,bih,Behi / Safarjal,Seemaimadhulai,quince,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cymbopogon jwarancusa,lmajjaka,Izkhir/Gandhail,,jwarancusa grass,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cyperus esculentus Linn.,cicoha,Habb ul zulam,,"chufa, chufa flatsedge, yellow nutgrass, yellow nutsedge",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cyperus rotundus Linn. / Cyperus scariosus R. Br. / Cyperus arundinaceum Baker,"mustaka, gaadrv",Nager motha/Saad Kufi / Sad Kufi,",muthakasu ,varaga patchani,korai kizhangu","chaguan humatag, cocograss, kili'o'opu, nutgrass, pakopako, purple nutsedge",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cyperus scariosus R. Br.,mustaka bheda,Nagar motha/Saad Kufi,Korai kizhangu,Nut grass,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
